#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
 332       9    2     -168.0   174.5907               BA          4
 333       9    3     -145.6   174.5907             BOSS          4
 334       9    4     -123.2   174.5907               BA          5
 335       9    5     -100.8   174.5907               BA          5
 336       9    6      -78.4   174.5907             BOSS          5
 337       9    7      -56.0   174.5907             BOSS          5
 338       9    8      -33.6   174.5907             BOSS          5
 339       9    9      -11.2   174.5907             BOSS          5
 340       9   10       11.2   174.5907             BOSS          5
 341       9   11       33.6   174.5907             BOSS          5
 342       9   12       56.0   174.5907             BOSS          5
 343       9   13       78.4   174.5907             BOSS          5
 344       9   14      100.8   174.5907               BA          5
 345       9   15      123.2   174.5907               BA          5
 346       9   16      145.6   174.5907             BOSS          5
 347       9   17      168.0   174.5907               BA          5
 348       9   18      190.4   174.5907             BOSS          5
 349       9   19      212.8   174.5907               BA          5
 350       8    0     -224.0   155.1918               BA          5
 351       8    1     -201.6   155.1918               BA          5
 352       8    2     -179.2   155.1918               BA          5
   0       8    3     -156.8   155.1918         Fiducial         -1
 353       8    4     -134.4   155.1918               BA          5
 354       8    5     -112.0   155.1918             BOSS          5
   0       8    6      -89.6   155.1918         Fiducial         -1
 355       8    7      -67.2   155.1918               BA          5
 356       8    8      -44.8   155.1918               BA          5
 357       8    9      -22.4   155.1918               BA          5
   0       8   10        0.0   155.1918         Fiducial         -1
 358       8   11       22.4   155.1918               BA          5
 359       8   12       44.8   155.1918               BA          5
 360       8   13       67.2   155.1918               BA          5
   0       8   14       89.6   155.1918         Fiducial         -1
 361       8   15      112.0   155.1918             BOSS          5
 362       8   16      134.4   155.1918               BA          5
